,Unnamed: 0,change,temp,adm0,response,SE,lower_ci,upper_ci
25,5,2.491140333036441,26.34721180092842,France,residential,0.60409,1.3071239330364408,3.6751567330364407
26,6,2.71385262117346,27.174750166480493,France,residential,0.60409,1.52983622117346,3.89786902117346
27,7,2.936564909310479,28.00228853203257,France,residential,0.60409,1.7525485093104791,4.120581309310479
28,8,3.159277197447498,28.82982689758464,France,residential,0.60409,1.9752607974474978,4.343293597447498
29,9,3.3819894855845165,29.65736526313672,France,residential,0.60409,2.1979730855845165,4.5660058855845165
30,10,3.604701773721536,30.48490362868879,France,residential,0.60409,2.420685373721536,4.788718173721536
31,11,3.8274140618585535,31.312441994240864,France,residential,0.60409,2.6433976618585535,5.011430461858554
32,12,4.0501263499955735,32.13998035979294,France,residential,0.60409,2.8661099499955736,5.2341427499955735
33,13,4.272838638132592,32.967518725345016,France,residential,0.60409,3.0888222381325923,5.456855038132592
34,14,4.495550926269612,33.79505709089709,France,residential,0.60409,3.311534526269612,5.679567326269612
35,15,4.718263214406631,34.62259545644916,France,residential,0.60409,3.5342468144066315,5.902279614406631
36,16,4.940975502543649,35.450133822001234,France,residential,0.60409,3.7569591025436493,6.124991902543649
37,17,5.163687790680669,36.27767218755331,France,residential,0.60409,3.979671390680669,6.347704190680669
38,18,5.386400078817687,37.10521055310539,France,residential,0.60409,4.202383678817687,6.570416478817687
39,19,5.609112366954706,37.93274891865746,France,residential,0.60409,4.425095966954706,6.793128766954706
40,0,-0.6887368425924878,19.090580205336305,India,residential,0.20169,-1.0840492425924877,-0.2934244425924878
41,1,-0.6550603305509377,20.608683974934475,India,residential,0.20169,-1.0503727305509378,-0.2597479305509377
42,2,-0.6213838185093877,22.12678774453265,India,residential,0.20169,-1.0166962185093877,-0.22607141850938772
43,3,-0.5877073064678378,23.64489151413082,India,residential,0.20169,-0.9830197064678378,-0.19239490646783775
44,4,-0.5540307944262878,25.16299528372899,India,residential,0.20169,-0.9493431944262878,-0.15871839442628777
45,5,-0.5203542823847378,26.681099053327163,India,residential,0.20169,-0.9156666823847378,-0.1250418823847378
46,6,-0.4866777703431877,28.199202822925333,India,residential,0.20169,-0.8819901703431877,-0.0913653703431877
47,7,-0.4530012583016377,29.717306592523503,India,residential,0.20169,-0.8483136583016377,-0.05768885830163767
48,8,-0.4193247462600877,31.23541036212168,India,residential,0.20169,-0.8146371462600877,-0.02401234626008769
49,9,-0.3856482342185378,32.75351413171985,India,residential,0.20169,-0.7809606342185378,0.00966416578146223
50,10,-0.3519717221769877,34.271617901318024,India,residential,0.20169,-0.7472841221769877,0.04334067782301232
51,11,-0.3182952101354377,35.789721670916194,India,residential,0.20169,-0.7136076101354377,0.0770171898645623
52,12,-0.2846186980938877,37.30782544051437,India,residential,0.20169,-0.6799310980938877,0.11069370190611233
53,13,-0.2509421860523377,38.82592921011253,India,residential,0.20169,-0.6462545860523377,0.1443702139476623
54,14,-0.2172656740107877,40.344032979710704,India,residential,0.20169,-0.6125780740107877,0.1780467259892123
55,15,-0.1835891619692377,41.86213674930888,India,residential,0.20169,-0.5789015619692377,0.21172323803076232
56,16,-0.1499126499276877,43.38024051890704,India,residential,0.20169,-0.5452250499276877,0.2453997500723123
57,17,-0.1162361378861377,44.898344288505214,India,residential,0.20169,-0.5115485378861377,0.27907626211386233
58,18,-0.0825596258445878,46.41644805810339,India,residential,0.20169,-0.4778720258445878,0.3127527741554122
59,19,-0.0488831138030377,47.93455182770156,India,residential,0.20169,-0.4441955138030377,0.34642928619696234
60,0,-0.126085925281943,21.17821810538312,Turkey,residential,0.35296,-0.8178875252819431,0.565715674718057
61,1,-0.1101842839359304,22.283109503374217,Turkey,residential,0.35296,-0.8019858839359304,0.5816173160640696
