,change,temp,adm0,response
10,1.7930002373006577,34.68273698874928,Brazil,workplaces
11,1.4352516162343862,35.4340072389594,Brazil,workplaces
12,1.077502995168114,36.185277489169536,Brazil,workplaces
13,0.7197543741018426,36.93654773937966,Brazil,workplaces
14,0.36200575303557114,37.687817989589796,Brazil,workplaces
15,0.004257131969299666,38.43908823979993,Brazil,workplaces
16,-0.3534914890969718,39.190358490010055,Brazil,workplaces
17,-0.711240110163244,39.94162874022019,Brazil,workplaces
18,-1.0689887312295148,40.69289899043032,Brazil,workplaces
19,-1.426737352295787,41.44416924064045,Brazil,workplaces
0,-14.541663344967105,22.20951997316805,France,workplaces
1,-14.450172504458177,23.037058338720122,France,workplaces
2,-14.358681663949248,23.8645967042722,France,workplaces
3,-14.26719082344032,24.69213506982427,France,workplaces
4,-14.175699982931391,25.519673435376347,France,workplaces
5,-14.084209142422463,26.34721180092842,France,workplaces
6,-13.992718301913532,27.174750166480493,France,workplaces
7,-13.901227461404604,28.00228853203257,France,workplaces
8,-13.809736620895675,28.829826897584642,France,workplaces
9,-13.718245780386747,29.657365263136718,France,workplaces
10,-13.626754939877818,30.48490362868879,France,workplaces
11,-13.53526409936889,31.312441994240864,France,workplaces
12,-13.443773258859961,32.13998035979294,France,workplaces
13,-13.352282418351033,32.967518725345016,France,workplaces
14,-13.260791577842102,33.79505709089709,France,workplaces
15,-13.169300737333174,34.62259545644916,France,workplaces
16,-13.077809896824245,35.450133822001234,France,workplaces
17,-12.986319056315317,36.27767218755331,France,workplaces
18,-12.894828215806388,37.10521055310539,France,workplaces
19,-12.80333737529746,37.93274891865746,France,workplaces
0,-5.763523924171712,19.090580205336305,India,workplaces
1,-5.792998134839424,20.608683974934475,India,workplaces
2,-5.822472345507136,22.12678774453265,India,workplaces
3,-5.851946556174849,23.64489151413082,India,workplaces
4,-5.881420766842561,25.16299528372899,India,workplaces
5,-5.910894977510274,26.681099053327163,India,workplaces
6,-5.9403691881779865,28.199202822925333,India,workplaces
7,-5.969843398845699,29.717306592523506,India,workplaces
8,-5.999317609513412,31.235410362121677,India,workplaces
9,-6.028791820181124,32.75351413171985,India,workplaces
10,-6.058266030848837,34.271617901318024,India,workplaces
11,-6.087740241516549,35.789721670916194,India,workplaces
12,-6.117214452184262,37.307825440514364,India,workplaces
13,-6.146688662851974,38.825929210112534,India,workplaces
14,-6.1761628735196865,40.344032979710704,India,workplaces
15,-6.2056370841874,41.862136749308874,India,workplaces
16,-6.235111294855112,43.380240518907044,India,workplaces
17,-6.264585505522825,44.898344288505214,India,workplaces
18,-6.294059716190537,46.41644805810339,India,workplaces
19,-6.323533926858249,47.93455182770156,India,workplaces
0,-2.2235554326733875,21.17821810538312,Turkey,workplaces
1,-1.8732623132839308,22.283109503374217,Turkey,workplaces
2,-1.522969193894474,23.388000901365313,Turkey,workplaces
3,-1.1726760745050169,24.492892299356413,Turkey,workplaces
4,-0.8223829551155604,25.59778369734751,Turkey,workplaces
5,-0.4720898357261034,26.702675095338606,Turkey,workplaces
6,-0.12179671633664646,27.807566493329702,Turkey,workplaces
7,0.22849640305281038,28.9124578913208,Turkey,workplaces
8,0.5787895224422671,30.017349289311895,Turkey,workplaces
9,0.9290826418317238,31.12224068730299,Turkey,workplaces
10,1.2793757612211807,32.22713208529409,Turkey,workplaces
11,1.6296688806106374,33.332023483285184,Turkey,workplaces
12,1.9799620000000946,34.43691488127628,Turkey,workplaces
13,2.3302551193895518,35.541806279267384,Turkey,workplaces
14,2.680548238779008,36.64669767725848,Turkey,workplaces
15,3.0308413581684652,37.751589075249576,Turkey,workplaces
16,3.381134477557922,38.85648047324067,Turkey,workplaces
17,3.731427596947379,39.96137187123177,Turkey,workplaces
18,4.081720716336836,41.066263269222866,Turkey,workplaces
19,4.432013835726293,42.17115466721396,Turkey,workplaces
0,-1.8220954604025579,22.3887370442807,United States,workplaces
1,-1.804743143300957,23.562562691133863,United States,workplaces
2,-1.7873908261993563,24.736388337987023,United States,workplaces
3,-1.7700385090977555,25.910213984840187,United States,workplaces
4,-1.7526861919961545,27.084039631693347,United States,workplaces
5,-1.7353338748945537,28.25786527854651,United States,workplaces
6,-1.717981557792953,29.43169092539967,United States,workplaces
7,-1.7006292406913521,30.605516572252835,United States,workplaces
8,-1.6832769235897511,31.779342219106,United States,workplaces
9,-1.6659246064881503,32.95316786595916,United States,workplaces
10,-1.6485722893865495,34.12699351281232,United States,workplaces
11,-1.6312199722849487,35.30081915966548,United States,workplaces
12,-1.6138676551833477,36.47464480651865,United States,workplaces
13,-1.596515338081747,37.64847045337181,United States,workplaces
14,-1.5791630209801462,38.822296100224975,United States,workplaces
15,-1.5618107038785454,39.996121747078135,United States,workplaces
16,-1.5444583867769444,41.169947393931295,United States,workplaces
17,-1.5271060696753436,42.343773040784455,United States,workplaces
18,-1.5097537525737428,43.517598687637616,United States,workplaces
19,-1.492401435472142,44.69142433449078,United States,workplaces
0,16.7543337118105,30.83610419071085,Nigeria,workplaces
1,16.494619739271354,31.389162927871293,Nigeria,workplaces
2,16.234905766732204,31.942221665031738,Nigeria,workplaces
3,15.975191794193059,32.49528040219218,Nigeria,workplaces
4,15.715477821653911,33.04833913935263,Nigeria,workplaces
5,15.455763849114764,33.60139787651307,Nigeria,workplaces
6,15.196049876575616,34.15445661367352,Nigeria,workplaces
7,14.936335904036468,34.70751535083396,Nigeria,workplaces
8,14.676621931497321,35.26057408799441,Nigeria,workplaces
9,14.416907958958175,35.81363282515485,Nigeria,workplaces
10,14.157193986419028,36.366691562315296,Nigeria,workplaces
11,13.89748001387988,36.91975029947574,Nigeria,workplaces
12,13.637766041340733,37.472809036636185,Nigeria,workplaces
13,13.378052068801585,38.02586777379663,Nigeria,workplaces
14,13.118338096262438,38.578926510957075,Nigeria,workplaces
15,12.85862412372329,39.131985248117516,Nigeria,workplaces
16,12.598910151184143,39.68504398527796,Nigeria,workplaces
17,12.339196178644995,40.238102722438406,Nigeria,workplaces
18,12.079482206105848,40.791161459598854,Nigeria,workplaces
19,11.819768233566702,41.344220196759295,Nigeria,workplaces
0,5.33450257169078,27.17003448664797,Brazil,transit
1,4.69779806618371,27.9213047368581,Brazil,transit
2,4.061093560676639,28.67257498706823,Brazil,transit
3,3.424389055169568,29.423845237278364,Brazil,transit
4,2.787684549662498,30.175115487488494,Brazil,transit
5,2.1509800441554274,30.926385737698624,Brazil,transit
6,1.5142755386483566,31.677655987908754,Brazil,transit
7,0.8775710331412863,32.42892623811888,Brazil,transit
8,0.2408665276342158,33.18019648832902,Brazil,transit
9,-0.3958379778728546,33.93146673853914,Brazil,transit
10,-1.032542483379925,34.68273698874928,Brazil,transit
11,-1.6692469888869954,35.4340072389594,Brazil,transit
12,-2.305951494394067,36.185277489169536,Brazil,transit
13,-2.9426559999011372,36.93654773937966,Brazil,transit
14,-3.5793605054082076,37.687817989589796,Brazil,transit
15,-4.216065010915278,38.43908823979993,Brazil,transit
16,-4.852769516422349,39.190358490010055,Brazil,transit
17,-5.48947402192942,39.94162874022019,Brazil,transit
18,-6.1261785274364895,40.69289899043032,Brazil,transit
19,-6.76288303294356,41.44416924064045,Brazil,transit
0,5.730000569701444,22.20951997316805,France,transit
1,5.535965004730861,23.037058338720122,France,transit
